n_exams probability_pairs seed_gen seed_program min_time_slots time_in_seconds
20 65 725 2555 7 0.140671 
20 65 22641 24848 7 0.096151 
20 65 21476 7152 8 1.315136 
20 65 3571 22136 7 0.029606 
20 65 13663 13831 7 0.270039 
20 65 17255 5507 7 0.038953 
20 65 27266 16367 7 0.720966 
20 65 29206 1622 7 0.075421 
20 65 28523 27263 7 0.066965 
20 65 25753 23652 7 0.067409 
20 65 1230 7659 7 0.017896 
20 65 7811 6324 8 4.154325 
20 65 7963 26273 8 0.574796 
20 65 7510 4210 7 0.005461 
20 65 13929 27163 7 0.012046 
20 65 23652 474 6 0.006012 
20 65 17914 17698 8 0.315652 
20 65 100 27609 8 0.376827 
20 65 9112 7538 7 0.026640 
20 65 19244 16354 8 0.293569 
20 65 15023 27938 8 0.291693 
20 65 14507 6330 8 0.577722 
20 65 10629 24097 8 0.385807 
20 65 27914 13714 8 0.349722 
20 65 29297 25714 7 0.473036 
20 65 8848 29051 8 0.475336 
20 65 24902 26241 7 0.029047 
20 65 9831 1840 8 8.870272 
20 65 18254 26312 7 0.050778 
20 65 11294 29663 8 0.059213 
20 65 8838 19468 7 0.023181 
20 65 14955 8254 7 0.014422 
20 65 3740 18748 7 0.037959 
20 65 15869 11842 7 0.039242 
20 65 27536 5229 8 0.003580 
20 65 10148 11575 7 0.008284 
20 65 5958 26065 8 0.713838 
20 65 8726 24123 7 0.176977 
20 65 6111 17400 7 0.247747 
20 65 4898 25917 8 0.570662 
20 66 5497 27271 7 0.019195 
20 66 29746 26433 7 0.007790 
20 66 11484 2233 8 2.582559 
20 66 5665 15414 8 0.187245 
20 66 25324 21613 7 0.251710 
20 66 15616 4537 7 0.032543 
20 66 7821 27960 7 0.016054 
20 66 8381 854 7 0.013479 
20 66 246 12060 7 0.269685 
20 66 25469 24649 8 0.877103 
20 66 10971 11442 8 2.807558 
20 66 1167 23306 7 0.012138 
20 66 21873 1550 7 0.223085 
20 66 19868 28809 7 0.012629 
20 66 29469 19385 7 0.007465 
20 66 12945 7834 7 0.035115 
20 66 25695 2459 7 0.020797 
20 66 20168 24043 8 3.020353 
20 66 11325 13576 8 0.938337 
20 66 27030 2270 8 0.129850 
20 66 13403 26728 8 1.399537 
20 66 1254 1292 7 0.072318 
20 66 45 8331 8 0.346740 
20 66 24420 23229 7 0.149234 
20 66 15122 24498 8 0.128527 
20 66 23174 8041 8 0.250818 
20 66 9295 20174 8 0.228129 
20 66 13503 20387 7 0.041189 
20 66 8662 18193 7 0.017721 
20 66 12460 25358 7 0.332842 
20 66 2484 18770 7 0.032978 
20 66 13972 6819 7 0.009222 
20 66 21137 19263 7 0.075596 
20 66 7785 19893 7 0.019884 
20 66 15665 29569 7 0.107631 
20 66 19180 11895 8 0.209454 
20 66 26264 25525 7 0.025681 
20 66 15878 28964 8 0.381332 
20 66 4177 15410 8 2.212432 
20 66 29904 8283 7 0.042232 
20 67 18441 18297 8 0.721969 
20 67 5910 29079 8 5.884215 
20 67 16142 169 7 0.040673 
20 67 25955 1940 8 0.087883 
20 67 23934 12473 7 0.040952 
20 67 12850 3766 7 0.138707 
20 67 12229 26214 7 0.053272 
20 67 20011 5210 7 0.053700 
20 67 8023 16598 8 0.183154 
20 67 592 9080 8 0.392879 
20 67 21312 20826 8 0.123876 
20 67 18159 27474 7 0.004396 
20 67 6921 26592 7 0.002934 
20 67 9922 28999 8 1.788100 
20 67 26886 15058 7 0.110765 
20 67 12217 20190 7 0.767231 
20 67 17214 4796 7 0.108820 
20 67 24786 16830 8 0.938331 
20 67 29414 25040 6 0.008811 
20 67 18777 10881 7 0.071392 
20 67 4605 16556 7 0.014541 
20 67 25485 16631 7 0.010788 
20 67 23321 9132 7 0.049171 
20 67 2948 22768 8 6.803522 
20 67 13205 6791 8 0.666894 
20 67 9052 10688 7 0.014488 
20 67 20361 18370 7 0.212276 
20 67 15458 6226 7 0.082050 
20 67 17514 24316 8 0.850117 
20 67 7791 15574 7 0.069608 
20 67 12691 25292 7 0.040983 
20 67 6235 21657 8 0.910625 
20 67 6606 7414 7 0.313464 
20 67 29949 10007 7 0.019533 
20 67 9028 13774 7 0.014743 
20 67 13718 5469 8 0.678278 
20 67 28403 4633 7 0.081866 
20 67 8224 26961 8 0.428307 
20 67 19630 7818 7 0.011350 
20 67 406 19066 7 0.409401 
20 68 16425 1540 7 0.077372 
20 68 134 27042 8 0.076709 
20 68 11157 13248 7 0.018994 
20 68 7684 17222 8 1.294753 
20 68 159 9262 7 0.167408 
20 68 25267 385 9 4.916414 
20 68 19523 16690 8 0.971433 
20 68 12269 23026 8 1.021561 
20 68 19564 17498 8 0.189122 
20 68 1733 7761 7 0.015516 
20 68 9442 18948 7 0.030887 
20 68 1962 5552 8 0.214218 
20 68 20696 18371 8 0.304135 
20 68 7655 20516 8 0.209366 
20 68 6901 5842 8 0.962071 
20 68 20784 13732 8 1.659816 
20 68 16882 1694 8 5.900425 
20 68 271 27283 7 0.011136 
20 68 3366 14858 7 0.002614 
20 68 23288 22149 7 0.402861 
20 68 19301 10396 8 0.444795 
20 68 27706 5057 8 0.192532 
20 68 4451 11305 8 0.142211 
20 68 19036 14311 9 0.322344 
20 68 11593 22290 8 0.337455 
20 68 22862 24669 7 0.037354 
20 68 3987 21438 9 1.115107 
20 68 19453 28540 8 5.990714 
20 68 2809 2435 8 0.665421 
20 68 5854 3798 8 0.498841 
20 68 23101 18687 8 0.666274 
20 68 5173 1680 7 0.094304 
20 68 22627 9490 6 0.035505 
20 68 15612 3023 7 0.008689 
20 68 19334 9030 7 0.005109 
20 68 20308 22689 7 0.068846 
20 68 13886 28652 7 0.029694 
20 68 11386 23451 8 0.643200 
20 68 9574 24448 8 0.058525 
20 68 7248 29153 7 0.112478 
20 69 11154 8481 7 0.079163 
20 69 20773 2153 8 1.997903 
20 69 2401 22625 9 2.674710 
20 69 24364 20819 8 0.142269 
20 69 9700 5448 8 0.262019 
20 69 28961 1300 10 86.249991 
20 69 4907 17578 8 0.118498 
20 69 2335 20662 9 1.684397 
20 69 4397 26446 8 0.649008 
20 69 10585 12984 7 0.029140 
20 69 18048 11825 7 0.179441 
20 69 20573 4586 8 0.068449 
20 69 14876 15578 8 1.450426 
20 69 19973 5444 7 0.000781 
20 69 6072 24910 7 0.006361 
20 69 13474 11593 8 0.694120 
20 69 15132 15970 8 0.061767 
20 69 12436 9030 9 5.788228 
20 69 22904 25260 8 0.185691 
20 69 8369 27901 7 0.090626 
20 69 29858 13506 7 0.352815 
20 69 1923 17864 7 0.046677 
20 69 12968 28688 8 4.996940 
20 69 10724 20847 9 0.079859 
20 69 29047 6504 7 0.289777 
20 69 26690 15391 8 0.117555 
20 69 28558 6647 9 19.291717 
20 69 15702 821 7 0.054705 
20 69 27666 12850 8 0.299069 
20 69 10623 26902 8 0.159307 
20 69 5971 8175 8 0.332457 
20 69 4277 18186 8 0.255981 
20 69 5002 20417 8 0.147519 
20 69 20508 26707 8 0.282009 
20 69 27643 27022 8 0.079626 
20 69 12980 6361 7 0.013060 
20 69 29152 18444 8 1.319143 
20 69 18747 22748 8 3.490411 
20 69 29731 27326 8 0.285398 
20 69 3709 12462 7 0.606965 
20 70 8176 4726 8 0.184827 
20 70 21731 22199 7 0.058934 
20 70 20693 9023 8 0.967659 
20 70 12278 6924 8 0.545601 
20 70 6979 3453 9 1.646975 
20 70 2265 28662 7 0.034950 
20 70 25424 21011 8 0.641081 
20 70 14974 16948 8 0.839906 
20 70 11215 25919 9 2.930230 
20 70 10616 17697 8 0.274371 
20 70 15847 16440 8 0.305778 
20 70 28059 27036 9 2.160902 
20 70 1953 20874 8 0.082783 
20 70 18658 10143 8 0.338070 
20 70 11640 8462 7 0.019071 
20 70 10852 3930 8 0.127982 
20 70 8943 25747 8 0.109229 
20 70 28565 25636 8 2.199329 
20 70 5119 29142 9 13.720453 
20 70 27935 5358 10 133.452867 
20 70 14121 14468 7 0.053559 
20 70 23919 4589 7 0.157776 
20 70 8606 2530 9 0.264736 
20 70 25372 2892 8 0.294730 
20 70 8190 17109 7 0.007945 
20 70 8139 26217 8 0.344353 
20 70 14509 20013 7 0.250910 
20 70 24743 17606 7 0.004962 
20 70 17343 8131 8 0.083363 
20 70 1981 2117 8 0.393846 
20 70 27933 15319 7 0.045016 
20 70 10085 22819 9 1.810976 
20 70 10432 13209 8 0.734917 
20 70 17031 3974 9 3.959534 
20 70 4504 16918 7 0.004029 
20 70 26120 2958 8 0.876890 
20 70 19001 29806 10 143.978146 
20 70 22338 11177 7 0.185248 
20 70 6725 542 8 1.362484 
20 70 2749 21311 7 0.111929 
20 71 6594 14497 7 0.034054 
20 71 14461 10794 8 0.558570 
20 71 22474 14554 9 22.581139 
20 71 22522 7505 8 0.767930 
20 71 1144 6019 8 0.090201 
20 71 27827 29847 9 0.149955 
20 71 23634 7515 7 0.011787 
20 71 8961 15231 9 5.639694 
20 71 13660 13188 9 0.967257 
