n_exams probability_pairs seed_gen seed_program min_time_slots time_in_seconds
20 65 725 2555 7 0.141207 
20 65 22641 24848 7 0.100916 
20 65 21476 7152 8 1.350529 
20 65 3571 22136 7 0.021455 
20 65 13663 13831 7 0.288774 
20 65 17255 5507 7 0.039450 
20 65 27266 16367 7 0.715700 
20 65 29206 1622 7 0.071350 
20 65 28523 27263 7 0.068345 
20 65 25753 23652 7 0.068404 
20 65 1230 7659 7 0.020764 
20 65 7811 6324 8 4.213602 
20 65 7963 26273 8 0.591710 
20 65 7510 4210 7 0.005301 
20 65 13929 27163 7 0.010499 
20 65 23652 474 6 0.005315 
20 65 17914 17698 8 0.322644 
20 65 100 27609 8 0.391175 
20 65 9112 7538 7 0.027019 
20 65 19244 16354 8 0.288472 
20 65 15023 27938 8 0.292224 
20 65 14507 6330 8 0.569336 
20 65 10629 24097 8 0.383096 
20 65 27914 13714 8 0.370441 
20 65 29297 25714 7 0.478615 
20 65 8848 29051 8 0.463979 
20 65 24902 26241 7 0.016899 
20 65 9831 1840 8 9.004109 
20 65 18254 26312 7 0.053692 
20 65 11294 29663 8 0.061016 
20 65 8838 19468 7 0.024056 
20 65 14955 8254 7 0.013667 
20 65 3740 18748 7 0.039613 
20 65 15869 11842 7 0.039730 
20 65 27536 5229 8 0.003803 
20 65 10148 11575 7 0.008306 
20 65 5958 26065 8 0.711248 
20 65 8726 24123 7 0.178714 
20 65 6111 17400 7 0.132732 
20 65 4898 25917 8 0.534124 
20 66 5497 27271 7 0.017542 
20 66 29746 26433 7 0.007865 
20 66 11484 2233 8 2.494220 
20 66 5665 15414 8 0.196268 
20 66 25324 21613 7 0.244280 
20 66 15616 4537 7 0.032353 
20 66 7821 27960 7 0.015624 
20 66 8381 854 7 0.014722 
20 66 246 12060 7 0.273545 
20 66 25469 24649 8 1.003819 
20 66 10971 11442 8 2.996332 
20 66 1167 23306 7 0.013027 
20 66 21873 1550 7 0.215208 
20 66 19868 28809 7 0.014180 
20 66 29469 19385 7 0.007911 
20 66 12945 7834 7 0.035324 
20 66 25695 2459 7 0.020568 
20 66 20168 24043 8 3.106155 
20 66 11325 13576 8 0.945462 
20 66 27030 2270 8 0.130034 
20 66 13403 26728 8 1.408185 
20 66 1254 1292 7 0.073626 
20 66 45 8331 8 0.360270 
20 66 24420 23229 7 0.154789 
20 66 15122 24498 8 0.128215 
20 66 23174 8041 8 0.237969 
20 66 9295 20174 8 0.232975 
20 66 13503 20387 7 0.041797 
20 66 8662 18193 7 0.019450 
20 66 12460 25358 7 0.323128 
20 66 2484 18770 7 0.034090 
20 66 13972 6819 7 0.008709 
20 66 21137 19263 7 0.075538 
20 66 7785 19893 7 0.020713 
20 66 15665 29569 7 0.108150 
20 66 19180 11895 8 0.211778 
20 66 26264 25525 7 0.027098 
20 66 15878 28964 8 0.383796 
20 66 4177 15410 8 2.266605 
20 66 29904 8283 7 0.042775 
20 67 18441 18297 8 0.724667 
20 67 5910 29079 8 5.745044 
20 67 16142 169 7 0.043047 
20 67 25955 1940 8 0.093319 
20 67 23934 12473 7 0.038078 
20 67 12850 3766 7 0.142416 
20 67 12229 26214 7 0.053700 
20 67 20011 5210 7 0.054034 
20 67 8023 16598 8 0.183403 
20 67 592 9080 8 0.395933 
20 67 21312 20826 8 0.134430 
20 67 18159 27474 7 0.004170 
20 67 6921 26592 7 0.002652 
20 67 9922 28999 8 1.801425 
20 67 26886 15058 7 0.113127 
20 67 12217 20190 7 0.192501 
20 67 17214 4796 7 0.106013 
20 67 24786 16830 8 1.016943 
20 67 29414 25040 6 0.009021 
20 67 18777 10881 7 0.077831 
20 67 4605 16556 7 0.015403 
20 67 25485 16631 7 0.012189 
20 67 23321 9132 7 0.048675 
20 67 2948 22768 8 6.381038 
20 67 13205 6791 8 0.668771 
20 67 9052 10688 7 0.012320 
20 67 20361 18370 7 0.223029 
20 67 15458 6226 7 0.082747 
20 67 17514 24316 8 0.952411 
20 67 7791 15574 7 0.071660 
20 67 12691 25292 7 0.043744 
20 67 6235 21657 8 0.898105 
20 67 6606 7414 7 0.310130 
20 67 29949 10007 7 0.022109 
20 67 9028 13774 7 0.013531 
20 67 13718 5469 8 0.677430 
20 67 28403 4633 7 0.085599 
20 67 8224 26961 8 0.420936 
20 67 19630 7818 7 0.011313 
20 67 406 19066 7 0.112001 
20 68 16425 1540 7 0.079386 
20 68 134 27042 8 0.077957 
20 68 11157 13248 7 0.018845 
20 68 7684 17222 8 1.446220 
20 68 159 9262 7 0.139230 
20 68 25267 385 9 4.896949 
20 68 19523 16690 8 1.008268 
20 68 12269 23026 8 1.018766 
20 68 19564 17498 8 0.198159 
20 68 1733 7761 7 0.015583 
20 68 9442 18948 7 0.031496 
20 68 1962 5552 8 0.218198 
20 68 20696 18371 8 0.292365 
20 68 7655 20516 8 0.210778 
20 68 6901 5842 8 0.986808 
20 68 20784 13732 8 1.807820 
20 68 16882 1694 8 6.578719 
20 68 271 27283 7 0.012837 
20 68 3366 14858 7 0.002900 
20 68 23288 22149 7 0.433462 
20 68 19301 10396 8 0.444708 
20 68 27706 5057 8 0.195198 
20 68 4451 11305 8 0.142274 
20 68 19036 14311 9 0.311103 
20 68 11593 22290 8 0.350704 
20 68 22862 24669 7 0.037497 
20 68 3987 21438 9 1.125535 
20 68 19453 28540 8 6.044182 
20 68 2809 2435 8 0.653320 
20 68 5854 3798 8 0.502582 
20 68 23101 18687 8 0.660226 
20 68 5173 1680 7 0.095912 
20 68 22627 9490 6 0.037231 
20 68 15612 3023 7 0.009586 
20 68 19334 9030 7 0.005143 
20 68 20308 22689 7 0.070681 
20 68 13886 28652 7 0.030822 
20 68 11386 23451 8 0.669774 
20 68 9574 24448 8 0.060956 
20 68 7248 29153 7 0.185489 
20 69 11154 8481 7 0.072611 
20 69 20773 2153 8 1.733472 
20 69 2401 22625 9 2.955874 
20 69 24364 20819 8 0.138119 
20 69 9700 5448 8 0.272764 
20 69 28961 1300 10 88.993039 
20 69 4907 17578 8 0.124965 
20 69 2335 20662 9 1.723714 
20 69 4397 26446 8 0.676289 
20 69 10585 12984 7 0.029821 
20 69 18048 11825 7 0.171541 
20 69 20573 4586 8 0.068282 
20 69 14876 15578 8 1.550313 
20 69 19973 5444 7 0.000838 
20 69 6072 24910 7 0.006703 
20 69 13474 11593 8 0.813420 
20 69 15132 15970 8 0.066000 
20 69 12436 9030 9 5.960186 
20 69 22904 25260 8 0.187033 
20 69 8369 27901 7 0.093242 
20 69 29858 13506 7 0.306421 
20 69 1923 17864 7 0.048613 
20 69 12968 28688 8 4.965409 
20 69 10724 20847 9 0.085695 
20 69 29047 6504 7 0.286487 
20 69 26690 15391 8 0.121734 
20 69 28558 6647 9 19.550387 
20 69 15702 821 7 0.052353 
20 69 27666 12850 8 0.289981 
20 69 10623 26902 8 0.159733 
20 69 5971 8175 8 0.311987 
20 69 4277 18186 8 0.257406 
20 69 5002 20417 8 0.151529 
20 69 20508 26707 8 0.291943 
20 69 27643 27022 8 0.079543 
20 69 12980 6361 7 0.012409 
20 69 29152 18444 8 1.331421 
20 69 18747 22748 8 3.310720 
20 69 29731 27326 8 0.290878 
20 69 3709 12462 7 0.611221 
20 70 8176 4726 8 0.192052 
20 70 21731 22199 7 0.060760 
20 70 20693 9023 8 0.964846 
20 70 12278 6924 8 0.548050 
20 70 6979 3453 9 1.583537 
20 70 2265 28662 7 0.038165 
20 70 25424 21011 8 0.647276 
20 70 14974 16948 8 0.840392 
20 70 11215 25919 9 2.987736 
20 70 10616 17697 8 0.275995 
20 70 15847 16440 8 0.312875 
20 70 28059 27036 9 2.236963 
20 70 1953 20874 8 0.086586 
20 70 18658 10143 8 0.347745 
20 70 11640 8462 7 0.019186 
20 70 10852 3930 8 0.134849 
20 70 8943 25747 8 0.117421 
20 70 28565 25636 8 2.173511 
20 70 5119 29142 9 13.728227 
20 70 27935 5358 10 137.090467 
20 70 14121 14468 7 0.057770 
20 70 23919 4589 7 0.159364 
20 70 8606 2530 9 0.277825 
20 70 25372 2892 8 0.294269 
20 70 8190 17109 7 0.008271 
20 70 8139 26217 8 0.340109 
20 70 14509 20013 7 0.255723 
20 70 24743 17606 7 0.005285 
20 70 17343 8131 8 0.085854 
20 70 1981 2117 8 0.389465 
20 70 27933 15319 7 0.045462 
20 70 10085 22819 9 1.846729 
20 70 10432 13209 8 0.753853 
20 70 17031 3974 9 4.058581 
20 70 4504 16918 7 0.004753 
20 70 26120 2958 8 0.888356 
20 70 19001 29806 10 147.066673 
20 70 22338 11177 7 0.177306 
20 70 6725 542 8 1.269180 
20 70 2749 21311 7 0.124010 
20 71 6594 14497 7 0.038927 
20 71 14461 10794 8 0.575895 
20 71 22474 14554 9 22.750698 
20 71 22522 7505 8 0.775936 
20 71 1144 6019 8 0.096241 
20 71 27827 29847 9 0.156728 
20 71 23634 7515 7 0.013795 
20 71 8961 15231 9 5.615740 
20 71 13660 13188 9 0.992802 
20 71 27404 2179 9 1.878117 
20 71 13847 27607 9 1.750066 
20 71 11435 23339 9 2.528585 
20 71 11083 26073 7 0.037503 
20 71 24784 19776 7 0.007541 
20 71 20597 4366 9 0.934852 
20 71 1945 9600 8 0.093804 
20 71 20855 26404 9 0.428755 
20 71 22915 23977 7 0.018510 
20 71 63 20395 8 0.044321 
20 71 10588 27418 9 5.309328 
20 71 15188 22135 9 6.733378 
20 71 1637 6111 8 0.051554 
20 71 5506 584 9 2.957892 
20 71 8218 20314 8 1.164989 
20 71 20426 24451 8 0.040069 
20 71 15914 17521 8 1.640532 
20 71 2652 4205 9 0.374815 
20 71 15519 11151 9 8.883917 
20 71 23260 12336 8 0.062252 
20 71 6465 3473 8 0.843746 
20 71 12446 21239 7 0.034764 
20 71 14262 13940 8 0.019501 
20 71 22527 357 8 4.790753 
20 71 13539 7265 8 0.260441 
20 71 9777 1582 8 0.123975 
20 71 29309 23052 9 0.426868 
20 71 19911 14997 9 5.320461 
20 71 1244 29014 8 0.081173 
20 71 19014 10454 9 10.194584 
20 71 27126 2260 7 0.016222 
20 72 9508 24936 8 0.175920 
20 72 9835 15582 8 0.173025 
