code n_exams probability_pairs seed_gen seed_program min_time_slots time_in_seconds
1 2 20 1739 29655 1 0.000004 
1 2 20 1739 29655 1 0.000004 
1 2 20 1739 29655 1 0.000004 
1 2 20 16145 23850 1 0.000004 
1 2 20 16145 23850 1 0.000004 
1 2 20 16145 23850 1 0.000006 
1 2 20 26400 8709 1 0.000005 
1 2 20 26400 8709 1 0.000004 
1 2 20 26400 8709 1 0.000004 
1 2 20 1321 25898 1 0.000005 
1 2 20 1321 25898 1 0.000005 
1 2 20 1321 25898 1 0.000005 
1 2 20 8524 16003 1 0.000005 
1 2 20 8524 16003 1 0.000004 
1 2 20 8524 16003 1 0.000004 
1 2 20 27729 10144 1 0.000004 
1 2 20 27729 10144 1 0.000006 
1 2 20 27729 10144 1 0.000005 
1 2 20 22841 18532 1 0.000005 
1 2 20 22841 18532 1 0.000004 
1 2 20 22841 18532 1 0.000006 
1 2 20 9188 26416 1 0.000005 
1 2 20 9188 26416 1 0.000005 
1 2 20 9188 26416 1 0.000005 
1 2 20 28035 17751 1 0.000007 
1 2 20 28035 17751 1 0.000005 
1 2 20 28035 17751 1 0.000006 
1 2 20 20740 26027 1 0.000006 
1 2 20 20740 26027 1 0.000006 
1 2 20 20740 26027 1 0.000008 
1 2 20 5352 28518 1 0.000004 
1 2 20 5352 28518 1 0.000005 
1 2 20 5352 28518 1 0.000005 
1 2 20 15592 8885 1 0.000005 
1 2 20 15592 8885 1 0.000005 
1 2 20 15592 8885 1 0.000004 
1 2 20 27805 2476 1 0.000005 
1 2 20 27805 2476 1 0.000004 
1 2 20 27805 2476 1 0.000005 
1 2 20 19871 29055 1 0.000005 
1 2 20 19871 29055 1 0.000006 
1 2 20 19871 29055 1 0.000005 
1 2 20 21158 18985 1 0.000006 
1 2 20 21158 18985 1 0.000009 
1 2 20 21158 18985 1 0.000006 
1 2 20 20396 5553 1 0.000012 
1 2 20 20396 5553 1 0.000007 
1 2 20 20396 5553 1 0.000007 
1 2 20 16228 25640 1 0.000007 
1 2 20 16228 25640 1 0.000007 
1 2 20 16228 25640 1 0.000010 
1 2 20 16768 29486 1 0.000007 
1 2 20 16768 29486 1 0.000009 
1 2 20 16768 29486 1 0.000008 
1 2 20 16344 2197 1 0.000018 
1 2 20 16344 2197 1 0.000008 
1 2 20 16344 2197 1 0.000006 
1 2 20 15497 14073 1 0.000019 
1 2 20 15497 14073 1 0.000006 
1 2 20 15497 14073 1 0.000004 
1 2 20 24935 24455 1 0.000004 
1 2 20 24935 24455 1 0.000005 
1 2 20 24935 24455 1 0.000005 
1 2 20 15775 5673 2 0.000001 
1 2 20 15775 5673 2 0.000002 
1 2 20 15775 5673 2 0.000001 
1 2 20 6399 21980 1 0.000007 
1 2 20 6399 21980 1 0.000007 
1 2 20 6399 21980 1 0.000007 
1 2 20 6268 11177 1 0.000005 
1 2 20 6268 11177 1 0.000005 
1 2 20 6268 11177 1 0.000005 
1 2 20 14899 10787 1 0.000005 
1 2 20 14899 10787 1 0.000006 
1 2 20 14899 10787 1 0.000005 
1 2 20 12114 12453 1 0.000005 
1 2 20 12114 12453 1 0.000004 
1 2 20 12114 12453 1 0.000005 
1 2 20 13186 9313 1 0.000007 
1 2 20 13186 9313 1 0.000005 
1 2 20 13186 9313 1 0.000005 
1 2 20 5074 21089 1 0.000004 
1 2 20 5074 21089 1 0.000006 
1 2 20 5074 21089 1 0.000005 
1 2 20 28230 13846 1 0.000005 
1 2 20 28230 13846 1 0.000004 
1 2 20 28230 13846 1 0.000004 
1 2 20 17936 22934 1 0.000007 
1 2 20 17936 22934 1 0.000005 
1 2 20 17936 22934 1 0.000005 
1 20 20 18134 28683 3 0.000357 
1 20 20 18134 28683 3 0.000355 
1 20 20 18134 28683 3 0.000355 
1 20 20 15330 6505 3 0.000633 
1 20 20 15330 6505 3 0.000632 
1 20 20 15330 6505 3 0.000642 
1 20 20 17477 12551 3 0.000302 
1 20 20 17477 12551 3 0.000289 
1 20 20 17477 12551 3 0.000311 
1 20 20 5749 29783 4 0.001509 
1 20 20 5749 29783 4 0.001477 
1 20 20 5749 29783 4 0.001460 
1 20 20 155 28741 4 0.001347 
1 20 20 155 28741 4 0.001340 
1 20 20 155 28741 4 0.001303 
1 20 20 16040 27887 4 0.008607 
1 20 20 16040 27887 4 0.007997 
1 20 20 16040 27887 4 0.007304 
1 20 20 10717 25438 4 0.000774 
