n_exams probability_pairs seed_gen seed_program min_time_slots time_in_seconds
2 20 957 27509 2 0.000001 
2 20 957 27509 2 0.000001 
2 20 957 27509 2 0.000000 
2 20 12831 11356 1 0.000005 
2 20 12831 11356 1 0.000005 
2 20 12831 11356 1 0.000005 
2 20 29890 22041 1 0.000005 
2 20 29890 22041 1 0.000004 
2 20 29890 22041 1 0.000008 
2 20 8936 14330 2 0.000001 
2 20 8936 14330 2 0.000001 
2 20 8936 14330 2 0.000001 
2 20 4884 27713 1 0.000005 
2 20 4884 27713 1 0.000005 
2 20 4884 27713 1 0.000005 
2 20 13295 14402 1 0.000004 
2 20 13295 14402 1 0.000006 
2 20 13295 14402 1 0.000004 
2 20 16308 19168 1 0.000006 
2 20 16308 19168 1 0.000008 
2 20 16308 19168 1 0.000005 
2 20 20239 4135 1 0.000005 
2 20 20239 4135 1 0.000004 
2 20 20239 4135 1 0.000005 
2 20 14996 5523 1 0.000005 
2 20 14996 5523 1 0.000005 
2 20 14996 5523 1 0.000006 
2 20 1425 28383 1 0.000008 
2 20 1425 28383 1 0.000009 
2 20 1425 28383 1 0.000008 
2 20 7388 23024 1 0.000009 
2 20 7388 23024 1 0.000009 
2 20 7388 23024 1 0.000006 
2 20 6444 15056 2 0.000001 
2 20 6444 15056 2 0.000001 
2 20 6444 15056 2 0.000001 
2 20 22508 22961 1 0.000009 
2 20 22508 22961 1 0.000007 
2 20 22508 22961 1 0.000010 
2 20 20682 17186 1 0.000008 
2 20 20682 17186 1 0.000005 
2 20 20682 17186 1 0.000005 
2 20 24324 2311 1 0.000006 
2 20 24324 2311 1 0.000006 
2 20 24324 2311 1 0.000006 
2 20 5046 7781 2 0.000002 
2 20 5046 7781 2 0.000001 
2 20 5046 7781 2 0.000002 
2 20 6281 11151 2 0.000002 
2 20 6281 11151 2 0.000001 
2 20 6281 11151 2 0.000001 
2 20 19893 2292 1 0.000009 
2 20 19893 2292 1 0.000006 
2 20 19893 2292 1 0.000006 
2 20 10920 12941 1 0.000006 
2 20 10920 12941 1 0.000007 
2 20 10920 12941 1 0.000007 
2 20 27683 13773 1 0.000005 
2 20 27683 13773 1 0.000006 
2 20 27683 13773 1 0.000005 
2 20 1500 16755 1 0.000005 
2 20 1500 16755 1 0.000005 
2 20 1500 16755 1 0.000006 
2 20 7748 26028 1 0.000005 
2 20 7748 26028 1 0.000005 
2 20 7748 26028 1 0.000007 
2 20 25133 16424 1 0.000006 
2 20 25133 16424 1 0.000006 
2 20 25133 16424 1 0.000007 
2 20 14915 19275 1 0.000005 
2 20 14915 19275 1 0.000006 
2 20 14915 19275 1 0.000005 
2 20 14918 3649 1 0.000005 
2 20 14918 3649 1 0.000005 
2 20 14918 3649 1 0.000005 
2 20 18663 15862 1 0.000005 
2 20 18663 15862 1 0.000004 
2 20 18663 15862 1 0.000005 
2 20 7931 21793 1 0.000006 
2 20 7931 21793 1 0.000005 
2 20 7931 21793 1 0.000004 
2 20 3723 3627 1 0.000004 
2 20 3723 3627 1 0.000005 
2 20 3723 3627 1 0.000005 
2 20 22850 9515 2 0.000001 
2 20 22850 9515 2 0.000001 
2 20 22850 9515 2 0.000002 
2 20 23099 21922 1 0.000005 
2 20 23099 21922 1 0.000006 
2 20 23099 21922 1 0.000004 
3 20 27773 1612 1 0.000007 
3 20 27773 1612 1 0.000008 
3 20 27773 1612 1 0.000008 
3 20 816 17726 2 0.000005 
3 20 816 17726 2 0.000006 
3 20 816 17726 2 0.000007 
3 20 17810 5235 2 0.000006 
3 20 17810 5235 2 0.000006 
3 20 17810 5235 2 0.000006 
3 20 24269 1378 2 0.000005 
3 20 24269 1378 2 0.000006 
3 20 24269 1378 2 0.000007 
3 20 4716 25145 2 0.000005 
3 20 4716 25145 2 0.000005 
3 20 4716 25145 2 0.000006 
3 20 20502 25035 1 0.000012 
3 20 20502 25035 1 0.000008 
3 20 20502 25035 1 0.000007 
3 20 13995 11579 1 0.000007 
3 20 13995 11579 1 0.000006 
3 20 13995 11579 1 0.000006 
3 20 13386 18237 1 0.000007 
3 20 13386 18237 1 0.000008 
3 20 13386 18237 1 0.000007 
3 20 29706 12542 1 0.000010 
3 20 29706 12542 1 0.000008 
3 20 29706 12542 1 0.000007 
3 20 20139 11330 1 0.000010 
3 20 20139 11330 1 0.000009 
3 20 20139 11330 1 0.000012 
3 20 2778 24832 1 0.000009 
