n_exams probability_pairs seed_gen seed_program min_time_slots time_in_seconds
2 20 2653 15999 1 0.000005 
2 20 2653 15999 1 0.000006 
2 20 26799 29591 1 0.000004 
2 20 26799 29591 1 0.000004 
2 20 23100 27635 1 0.000005 
2 20 23100 27635 1 0.000005 
2 20 10704 28498 2 0.000002 
2 20 10704 28498 2 0.000002 
2 20 13356 24983 1 0.000006 
2 20 13356 24983 1 0.000007 
2 20 19142 11492 1 0.000005 
2 20 19142 11492 1 0.000004 
2 20 6863 11288 1 0.000005 
2 20 6863 11288 1 0.000009 
2 20 7371 8375 1 0.000005 
2 20 7371 8375 1 0.000005 
2 20 4224 21310 1 0.000006 
2 20 4224 21310 1 0.000005 
2 20 27485 11511 1 0.000005 
2 20 27485 11511 1 0.000007 
2 20 16544 17351 1 0.000007 
2 20 16544 17351 1 0.000006 
2 20 16865 11444 2 0.000001 
2 20 16865 11444 2 0.000001 
2 20 26616 17262 1 0.000005 
2 20 26616 17262 1 0.000004 
2 20 18042 3014 1 0.000005 
2 20 18042 3014 1 0.000006 
2 20 12696 5224 1 0.000005 
2 20 12696 5224 1 0.000005 
2 20 19093 4795 1 0.000005 
2 20 19093 4795 1 0.000006 
2 20 9280 26408 1 0.000008 
2 20 9280 26408 1 0.000008 
2 20 16281 23201 1 0.000005 
2 20 16281 23201 1 0.000006 
2 20 25731 24574 2 0.000000 
2 20 25731 24574 2 0.000001 
2 20 27136 6400 1 0.000005 
2 20 27136 6400 1 0.000004 
2 20 13088 16857 1 0.000004 
2 20 13088 16857 1 0.000004 
2 20 638 24276 1 0.000005 
2 20 638 24276 1 0.000004 
2 20 29647 29253 1 0.000005 
2 20 29647 29253 1 0.000005 
2 20 18777 29454 1 0.000005 
2 20 18777 29454 1 0.000005 
2 20 13709 17590 1 0.000004 
2 20 13709 17590 1 0.000004 
2 20 6770 21571 1 0.000005 
2 20 6770 21571 1 0.000004 
2 20 28396 8706 1 0.000004 
2 20 28396 8706 1 0.000006 
2 20 19967 5280 1 0.000009 
2 20 19967 5280 1 0.000004 
2 20 6736 14183 1 0.000005 
2 20 6736 14183 1 0.000004 
2 20 19583 12913 1 0.000006 
2 20 19583 12913 1 0.000007 
20 20 13770 6125 4 0.000514 
20 20 13770 6125 4 0.000491 
20 20 6723 25277 3 0.000860 
20 20 6723 25277 3 0.001090 
20 20 22875 4650 3 0.000543 
20 20 22875 4650 3 0.000553 
20 20 2260 9483 4 0.000616 
20 20 2260 9483 4 0.000619 
20 20 14443 14450 4 0.000796 
20 20 14443 14450 4 0.000822 
20 20 8013 24430 4 0.003658 
20 20 8013 24430 4 0.003611 
20 20 8085 17531 3 0.000252 
20 20 8085 17531 3 0.000290 
20 20 251 18497 4 0.002359 
20 20 251 18497 4 0.002410 
20 20 10092 21585 3 0.000784 
20 20 10092 21585 3 0.000772 
20 20 2111 19064 3 0.000212 
20 20 2111 19064 3 0.000206 
20 20 7939 26078 3 0.000295 
20 20 7939 26078 3 0.000294 
20 20 27181 10052 3 0.000486 
20 20 27181 10052 3 0.000477 
20 20 24697 1543 4 0.001371 
20 20 24697 1543 4 0.001355 
20 20 8720 19343 4 0.000571 
20 20 8720 19343 4 0.000566 
20 20 14872 27500 3 0.000238 
20 20 14872 27500 3 0.000236 
20 20 959 2164 3 0.000410 
20 20 959 2164 3 0.000431 
20 20 15332 7725 3 0.000801 
20 20 15332 7725 3 0.000814 
20 20 6332 8456 4 0.001166 
20 20 6332 8456 4 0.000996 
20 20 15811 1149 4 0.006684 
20 20 15811 1149 4 0.006122 
20 20 13096 23423 3 0.000369 
20 20 13096 23423 3 0.000226 
20 20 24721 6330 3 0.000262 
20 20 24721 6330 3 0.000265 
20 20 8070 18614 3 0.000322 
20 20 8070 18614 3 0.000407 
20 20 2596 1758 4 0.001263 
20 20 2596 1758 4 0.001605 
20 20 15956 28818 4 0.000892 
20 20 15956 28818 4 0.000957 
20 20 17822 7804 3 0.000335 
20 20 17822 7804 3 0.000233 
20 20 20923 699 3 0.003597 
20 20 20923 699 3 0.003641 
20 20 26003 13973 3 0.000253 
20 20 26003 13973 3 0.000251 
20 20 9660 4198 4 0.000831 
20 20 9660 4198 4 0.001184 
20 20 2179 9922 4 0.000900 
20 20 2179 9922 4 0.000683 
20 20 542 22917 4 0.002912 
20 20 542 22917 4 0.002941 
40 20 23043 2038 5 17.645180 
40 20 23043 2038 5 19.513898 
40 20 6132 29130 4 3.766793 
40 20 6132 29130 4 3.794588 
40 20 16222 25699 4 11.773045 
40 20 16222 25699 4 11.466356 
40 20 9659 13502 5 40.334806 
40 20 9659 13502 5 40.308787 
40 20 20786 988 -1 120.000001 
40 20 20786 988 -1 120.000001 
40 20 27578 5894 5 6.797347 
40 20 27578 5894 5 6.730670 
40 20 26627 21538 5 5.629872 
40 20 26627 21538 5 5.940922 
40 20 559 18507 4 8.031992 
40 20 559 18507 4 7.678696 
40 20 29353 14867 4 2.942081 
40 20 29353 14867 4 2.935986 
40 20 10819 23112 4 0.031603 
40 20 10819 23112 4 0.038407 
40 20 16488 19442 4 2.321317 
40 20 16488 19442 4 2.326786 
40 20 3601 3597 5 25.697953 
40 20 3601 3597 5 26.067534 
40 20 22766 364 -1 120.000001 
40 20 22766 364 -1 120.000001 
40 20 13839 2975 5 6.313801 
40 20 13839 2975 5 6.218293 
40 20 26766 17321 -1 120.000001 
40 20 26766 17321 -1 120.000001 
40 20 2508 26572 5 20.332275 
40 20 2508 26572 5 20.767718 
40 20 13379 5771 4 0.898104 
40 20 13379 5771 4 0.891619 
40 20 4851 20761 5 13.018420 
40 20 4851 20761 5 13.378168 
40 20 22656 14870 4 7.117131 
40 20 22656 14870 4 7.197367 
40 20 20945 1027 5 63.820845 
40 20 20945 1027 5 64.301893 
40 20 26003 4205 5 54.801183 
40 20 26003 4205 5 54.781880 
40 20 25744 11529 5 3.096217 
40 20 25744 11529 5 3.350179 
40 20 29749 6163 4 11.049351 
40 20 29749 6163 4 11.441855 
40 20 14225 28619 4 19.572377 
40 20 14225 28619 4 19.353113 
40 20 5961 17435 4 2.221784 
40 20 5961 17435 4 2.279925 
40 20 4932 21317 4 1.479947 
40 20 4932 21317 4 1.499616 
40 20 28757 23775 -1 120.000001 
40 20 28757 23775 -1 120.000001 
40 20 29771 21915 4 1.302863 
40 20 29771 21915 4 1.304741 
40 20 9908 24556 5 5.299470 
40 20 9908 24556 5 5.245434 
40 20 7879 12889 5 6.201989 
40 20 7879 12889 5 6.212235 
