n_exams probability_pairs seed_gen seed_program min_time_slots time_in_seconds
2 20 1739 29655 1 0.000004 
2 20 1739 29655 1 0.000004 
2 20 1739 29655 1 0.000004 
2 20 16145 23850 1 0.000004 
2 20 16145 23850 1 0.000004 
2 20 16145 23850 1 0.000006 
2 20 26400 8709 1 0.000005 
2 20 26400 8709 1 0.000004 
2 20 26400 8709 1 0.000004 
2 20 1321 25898 1 0.000005 
2 20 1321 25898 1 0.000005 
2 20 1321 25898 1 0.000005 
2 20 8524 16003 1 0.000005 
2 20 8524 16003 1 0.000004 
2 20 8524 16003 1 0.000004 
2 20 27729 10144 1 0.000004 
2 20 27729 10144 1 0.000006 
2 20 27729 10144 1 0.000005 
2 20 22841 18532 1 0.000005 
2 20 22841 18532 1 0.000004 
2 20 22841 18532 1 0.000006 
2 20 9188 26416 1 0.000005 
2 20 9188 26416 1 0.000005 
2 20 9188 26416 1 0.000005 
2 20 28035 17751 1 0.000007 
2 20 28035 17751 1 0.000005 
2 20 28035 17751 1 0.000006 
2 20 20740 26027 1 0.000006 
2 20 20740 26027 1 0.000006 
2 20 20740 26027 1 0.000008 
2 20 5352 28518 1 0.000004 
2 20 5352 28518 1 0.000005 
2 20 5352 28518 1 0.000005 
2 20 15592 8885 1 0.000005 
2 20 15592 8885 1 0.000005 
2 20 15592 8885 1 0.000004 
2 20 27805 2476 1 0.000005 
2 20 27805 2476 1 0.000004 
2 20 27805 2476 1 0.000005 
2 20 19871 29055 1 0.000005 
2 20 19871 29055 1 0.000006 
2 20 19871 29055 1 0.000005 
2 20 21158 18985 1 0.000006 
2 20 21158 18985 1 0.000009 
2 20 21158 18985 1 0.000006 
2 20 20396 5553 1 0.000012 
2 20 20396 5553 1 0.000007 
2 20 20396 5553 1 0.000007 
2 20 16228 25640 1 0.000007 
2 20 16228 25640 1 0.000007 
2 20 16228 25640 1 0.000010 
2 20 16768 29486 1 0.000007 
2 20 16768 29486 1 0.000009 
2 20 16768 29486 1 0.000008 
2 20 16344 2197 1 0.000018 
2 20 16344 2197 1 0.000008 
2 20 16344 2197 1 0.000006 
2 20 15497 14073 1 0.000019 
2 20 15497 14073 1 0.000006 
2 20 15497 14073 1 0.000004 
2 20 24935 24455 1 0.000004 
2 20 24935 24455 1 0.000005 
2 20 24935 24455 1 0.000005 
2 20 15775 5673 2 0.000001 
2 20 15775 5673 2 0.000002 
2 20 15775 5673 2 0.000001 
2 20 6399 21980 1 0.000007 
2 20 6399 21980 1 0.000007 
2 20 6399 21980 1 0.000007 
2 20 6268 11177 1 0.000005 
2 20 6268 11177 1 0.000005 
2 20 6268 11177 1 0.000005 
2 20 14899 10787 1 0.000005 
2 20 14899 10787 1 0.000006 
2 20 14899 10787 1 0.000005 
2 20 12114 12453 1 0.000005 
2 20 12114 12453 1 0.000004 
2 20 12114 12453 1 0.000005 
2 20 13186 9313 1 0.000007 
2 20 13186 9313 1 0.000005 
2 20 13186 9313 1 0.000005 
2 20 5074 21089 1 0.000004 
2 20 5074 21089 1 0.000006 
2 20 5074 21089 1 0.000005 
2 20 28230 13846 1 0.000005 
2 20 28230 13846 1 0.000004 
2 20 28230 13846 1 0.000004 
2 20 17936 22934 1 0.000007 
2 20 17936 22934 1 0.000005 
2 20 17936 22934 1 0.000005 
20 20 18134 28683 3 0.000357 
20 20 18134 28683 3 0.000355 
20 20 18134 28683 3 0.000355 
20 20 15330 6505 3 0.000633 
20 20 15330 6505 3 0.000632 
20 20 15330 6505 3 0.000642 
20 20 17477 12551 3 0.000302 
20 20 17477 12551 3 0.000289 
20 20 17477 12551 3 0.000311 
20 20 5749 29783 4 0.001509 
20 20 5749 29783 4 0.001477 
20 20 5749 29783 4 0.001460 
20 20 155 28741 4 0.001347 
20 20 155 28741 4 0.001340 
20 20 155 28741 4 0.001303 
20 20 16040 27887 4 0.008607 
20 20 16040 27887 4 0.007997 
20 20 16040 27887 4 0.007304 
20 20 10717 25438 4 0.000774 
20 20 10717 25438 4 0.000929 
20 20 10717 25438 4 0.000834 
20 20 13436 17572 4 0.000814 
20 20 13436 17572 4 0.000839 
20 20 13436 17572 4 0.000890 
20 20 24765 10931 4 0.001615 
20 20 24765 10931 4 0.002050 
20 20 24765 10931 4 0.002189 
20 20 7310 3874 4 0.001655 
20 20 7310 3874 4 0.001760 
20 20 7310 3874 4 0.001707 
20 20 6054 4073 4 0.001361 
20 20 6054 4073 4 0.001006 
20 20 6054 4073 4 0.001700 
20 20 6188 159 4 0.001857 
20 20 6188 159 4 0.002392 
20 20 6188 159 4 0.002300 
20 20 9785 10508 4 0.082267 
20 20 9785 10508 4 0.064134 
20 20 9785 10508 4 0.062365 
20 20 1331 3812 4 0.003086 
20 20 1331 3812 4 0.002843 
20 20 1331 3812 4 0.003057 
20 20 17300 8118 3 0.000262 
20 20 17300 8118 3 0.000258 
20 20 17300 8118 3 0.000250 
20 20 7883 17694 3 0.006098 
20 20 7883 17694 3 0.006249 
20 20 7883 17694 3 0.006061 
20 20 27484 4881 3 0.000520 
20 20 27484 4881 3 0.000529 
20 20 27484 4881 3 0.000509 
20 20 23996 21447 3 0.000240 
20 20 23996 21447 3 0.000216 
20 20 23996 21447 3 0.000228 
20 20 17335 13484 4 0.000627 
20 20 17335 13484 4 0.000537 
20 20 17335 13484 4 0.000767 
20 20 13766 29895 3 0.000298 
20 20 13766 29895 3 0.000335 
20 20 13766 29895 3 0.000318 
20 20 6816 23763 3 0.001203 
20 20 6816 23763 3 0.001184 
20 20 6816 23763 3 0.001219 
20 20 22366 3994 4 0.001459 
20 20 22366 3994 4 0.001441 
20 20 22366 3994 4 0.001082 
20 20 22881 13071 3 0.000817 
20 20 22881 13071 3 0.000819 
20 20 22881 13071 3 0.000815 
20 20 7770 19272 3 0.000241 
20 20 7770 19272 3 0.000242 
20 20 7770 19272 3 0.000251 
20 20 21105 12187 3 0.000301 
20 20 21105 12187 3 0.000328 
20 20 21105 12187 3 0.000310 
20 20 22697 27697 3 0.000331 
20 20 22697 27697 3 0.000331 
20 20 22697 27697 3 0.000336 
20 20 12018 12400 3 0.000290 
20 20 12018 12400 3 0.000270 
20 20 12018 12400 3 0.000257 
20 20 16290 9260 4 0.003547 
20 20 16290 9260 4 0.003714 
20 20 16290 9260 4 0.003789 
20 20 21195 28414 4 0.584297 
20 20 21195 28414 4 0.573823 
20 20 21195 28414 4 0.578504 
20 20 16072 25546 3 0.000946 
20 20 16072 25546 3 0.000965 
20 20 16072 25546 3 0.000938 
40 20 9930 21835 4 0.653333 
40 20 9930 21835 4 0.669707 
40 20 9930 21835 4 0.735310 
40 20 8868 10891 4 2.262767 
40 20 8868 10891 4 2.237708 
40 20 8868 10891 4 2.253140 
40 20 10999 11166 5 1.519245 
40 20 10999 11166 5 1.526457 
40 20 10999 11166 5 1.525640 
40 20 18207 1986 5 1.102387 
40 20 18207 1986 5 1.119164 
40 20 18207 1986 5 1.100931 
40 20 26615 6920 -1 300.000001 
40 20 26615 6920 -1 300.000001 
40 20 26615 6920 -1 300.000001 
40 20 15119 26648 5 53.158810 
40 20 15119 26648 5 52.982473 
40 20 15119 26648 5 52.685575 
40 20 7804 9172 5 129.360374 
40 20 7804 9172 5 115.048764 
40 20 7804 9172 5 115.885491 
40 20 25483 8346 4 33.648663 
40 20 25483 8346 4 33.529196 
40 20 25483 8346 4 29.330989 
40 20 10729 28280 5 95.532279 
40 20 10729 28280 5 95.465464 
40 20 10729 28280 5 95.867455 
40 20 28348 20235 5 3.907782 
40 20 28348 20235 5 3.944481 
40 20 28348 20235 5 3.883104 
40 20 24056 19956 5 4.050960 
40 20 24056 19956 5 4.046446 
40 20 24056 19956 5 4.061827 
40 20 14385 5505 5 79.357654 
40 20 14385 5505 5 80.069468 
40 20 14385 5505 5 79.797788 
40 20 6604 4454 5 11.931511 
40 20 6604 4454 5 11.950560 
40 20 6604 4454 5 12.026045 
40 20 5605 27696 4 13.823288 
40 20 5605 27696 4 13.587107 
40 20 5605 27696 4 13.609974 
40 20 12402 24340 5 0.412802 
40 20 12402 24340 5 0.433818 
40 20 12402 24340 5 0.439187 
40 20 584 26260 5 3.456192 
40 20 584 26260 5 3.465773 
40 20 584 26260 5 3.462967 
40 20 14254 20726 -1 300.000001 
40 20 14254 20726 -1 300.000001 
40 20 14254 20726 -1 300.000001 
40 20 14969 16687 5 28.337791 
40 20 14969 16687 5 28.424775 
40 20 14969 16687 5 28.386405 
40 20 20832 7979 5 8.462837 
40 20 20832 7979 5 8.472770 
40 20 20832 7979 5 10.643691 
40 20 874 9629 5 11.355725 
40 20 874 9629 5 10.012602 
40 20 874 9629 5 10.063549 
