n_exams probability_pairs seed_gen seed_program min_time_slots time_in_seconds
20 1 18849 3213 2 0.000016 
20 1 18849 3213 2 0.000015 
20 1 18849 3213 2 0.000019 
20 1 6866 27920 2 0.000015 
20 1 6866 27920 2 0.000014 
20 1 6866 27920 2 0.000017 
20 1 14427 10919 2 0.000016 
20 1 14427 10919 2 0.000017 
20 1 14427 10919 2 0.000016 
20 1 5230 20107 2 0.000020 
20 1 5230 20107 2 0.000015 
20 1 5230 20107 2 0.000017 
20 1 28866 13260 2 0.000020 
20 1 28866 13260 2 0.000020 
20 1 28866 13260 2 0.000017 
20 1 14642 20212 2 0.000016 
20 1 14642 20212 2 0.000014 
20 1 14642 20212 2 0.000017 
20 1 8027 1592 2 0.000087 
20 1 8027 1592 2 0.000018 
20 1 8027 1592 2 0.000019 
20 1 19069 22964 2 0.000020 
20 1 19069 22964 2 0.000016 
20 1 19069 22964 2 0.000016 
20 1 6316 759 2 0.000019 
20 1 6316 759 2 0.000017 
20 1 6316 759 2 0.000019 
20 1 4290 27816 2 0.000018 
20 1 4290 27816 2 0.000017 
20 1 4290 27816 2 0.000016 
20 1 19958 29472 2 0.000016 
20 1 19958 29472 2 0.000019 
20 1 19958 29472 2 0.000014 
20 1 14003 20707 2 0.000021 
20 1 14003 20707 2 0.000016 
20 1 14003 20707 2 0.000019 
20 1 2078 24323 2 0.000018 
20 1 2078 24323 2 0.000017 
20 1 2078 24323 2 0.000016 
20 1 12670 19012 2 0.000015 
20 1 12670 19012 2 0.000019 
20 1 12670 19012 2 0.000017 
20 1 24729 19085 2 0.000017 
20 1 24729 19085 2 0.000018 
20 1 24729 19085 2 0.000017 
20 1 18308 13340 2 0.000015 
20 1 18308 13340 2 0.000019 
20 1 18308 13340 2 0.000020 
20 1 18056 21725 2 0.000017 
20 1 18056 21725 2 0.000017 
20 1 18056 21725 2 0.000017 
20 1 6977 4225 2 0.000017 
20 1 6977 4225 2 0.000016 
20 1 6977 4225 2 0.000024 
20 1 21576 21749 2 0.000014 
20 1 21576 21749 2 0.000025 
20 1 21576 21749 2 0.000016 
20 1 18483 20630 2 0.000020 
20 1 18483 20630 2 0.000019 
20 1 18483 20630 2 0.000016 
20 1 29448 2737 2 0.000019 
20 1 29448 2737 2 0.000017 
20 1 29448 2737 2 0.000018 
20 1 10735 18023 2 0.000018 
20 1 10735 18023 2 0.000017 
20 1 10735 18023 2 0.000022 
20 1 22619 26061 2 0.000017 
20 1 22619 26061 2 0.000016 
20 1 22619 26061 2 0.000018 
20 1 12863 4524 2 0.000016 
20 1 12863 4524 2 0.000020 
20 1 12863 4524 2 0.000018 
20 1 19507 14342 2 0.000015 
20 1 19507 14342 2 0.000015 
20 1 19507 14342 2 0.000017 
20 1 23189 4260 2 0.000020 
20 1 23189 4260 2 0.000019 
20 1 23189 4260 2 0.000015 
20 1 9863 10886 2 0.000021 
20 1 9863 10886 2 0.000019 
20 1 9863 10886 2 0.000016 
20 1 92 16225 2 0.000024 
20 1 92 16225 2 0.000016 
20 1 92 16225 2 0.000018 
