n_exams probability_pairs seed_gen seed_program min_time_slots time_in_seconds
35 20 19970 26812 4 0.021547 
35 20 19970 26812 4 0.021947 
35 20 21480 14379 4 0.004982 
35 20 21480 14379 4 0.005058 
35 20 15622 3463 4 0.013539 
35 20 15622 3463 4 0.015448 
35 20 11235 2014 4 0.033633 
35 20 11235 2014 4 0.027814 
35 20 18543 14105 5 4.001904 
35 20 18543 14105 5 3.867151 
35 20 28801 1740 5 2.645040 
35 20 28801 1740 5 2.695647 
35 20 24284 19645 4 0.640199 
35 20 24284 19645 4 0.640916 
35 20 18373 461 5 3.949686 
35 20 18373 461 5 3.923019 
35 20 10823 4912 4 2.636249 
35 20 10823 4912 4 2.623208 
35 20 4103 4499 4 0.021759 
35 20 4103 4499 4 0.019881 
35 20 13572 17204 4 0.008581 
35 20 13572 17204 4 0.008727 
35 20 727 13823 4 0.070866 
35 20 727 13823 4 0.070992 
35 20 16958 10145 5 5.828326 
35 20 16958 10145 5 5.939321 
35 20 13933 12200 4 1.051711 
35 20 13933 12200 4 1.034941 
35 20 3569 17980 5 1.237833 
35 20 3569 17980 5 1.232530 
35 20 22768 2364 4 0.263728 
35 20 22768 2364 4 0.261145 
35 20 29067 18218 4 0.358705 
35 20 29067 18218 4 0.354821 
35 20 694 12143 4 0.405671 
35 20 694 12143 4 0.399127 
35 20 26826 22570 4 0.385651 
35 20 26826 22570 4 0.385616 
35 20 29857 17390 4 0.063952 
35 20 29857 17390 4 0.065588 
35 20 12768 20913 4 1.047056 
35 20 12768 20913 4 1.027429 
35 20 28234 14895 4 0.018129 
35 20 28234 14895 4 0.017960 
35 20 13788 6570 4 0.134889 
35 20 13788 6570 4 0.132617 
35 20 21812 228 4 0.064377 
35 20 21812 228 4 0.066570 
35 20 25387 16119 4 5.726787 
35 20 25387 16119 4 5.670310 
35 20 15615 26150 4 6.943101 
35 20 15615 26150 4 6.777098 
35 20 11501 27071 4 1.165582 
35 20 11501 27071 4 1.151560 
35 20 28423 5833 -1 120.000001 
35 20 28423 5833 -1 120.000001 
35 20 22242 11070 4 0.006268 
35 20 22242 11070 4 0.006061 
35 20 3992 3133 4 0.421890 
35 20 3992 3133 4 0.429557 
36 20 26294 5711 4 0.244003 
36 20 26294 5711 4 0.250121 
36 20 26065 13302 4 0.528538 
36 20 26065 13302 4 0.536126 
36 20 26707 25171 4 0.081664 
36 20 26707 25171 4 0.082960 
36 20 26929 7822 5 41.817892 
36 20 26929 7822 5 42.022425 
36 20 5431 24141 4 0.174692 
36 20 5431 24141 4 0.174515 
36 20 18513 17640 4 70.663182 
36 20 18513 17640 4 70.575092 
36 20 15776 9672 4 0.157351 
36 20 15776 9672 4 0.128247 
36 20 26671 17541 4 0.018581 
36 20 26671 17541 4 0.022398 
36 20 17211 15250 4 5.572913 
36 20 17211 15250 4 5.277076 
36 20 12076 3503 5 30.218621 
36 20 12076 3503 5 30.125502 
36 20 24256 23186 5 7.272102 
36 20 24256 23186 5 7.256433 
36 20 14127 13645 5 13.047763 
36 20 14127 13645 5 13.027335 
36 20 290 3766 5 1.698843 
36 20 290 3766 5 1.711148 
