n_exams probability_pairs seed_gen seed_program min_time_slots time_in_seconds
2 20 26443 16016 1 0.000006 
2 20 26443 16016 1 0.000005 
2 20 26225 16365 2 0.000001 
2 20 26225 16365 2 0.000001 
2 20 26687 5909 1 0.000005 
2 20 26687 5909 1 0.000006 
2 20 24774 29932 1 0.000005 
2 20 24774 29932 1 0.000006 
2 20 844 16015 1 0.000005 
2 20 844 16015 1 0.000006 
2 20 26086 26230 1 0.000008 
2 20 26086 26230 1 0.000006 
2 20 29740 733 1 0.000009 
2 20 29740 733 1 0.000008 
2 20 28603 19816 1 0.000006 
2 20 28603 19816 1 0.000006 
2 20 869 4789 1 0.000008 
2 20 869 4789 1 0.000006 
2 20 22547 4181 1 0.000005 
2 20 22547 4181 1 0.000006 
2 20 21914 18850 1 0.000005 
2 20 21914 18850 1 0.000006 
2 20 4680 21130 2 0.000001 
2 20 4680 21130 2 0.000001 
2 20 14619 5953 1 0.000006 
2 20 14619 5953 1 0.000006 
2 20 18015 6872 2 0.000001 
2 20 18015 6872 2 0.000001 
2 20 19466 25009 1 0.000007 
2 20 19466 25009 1 0.000011 
2 20 3429 8530 1 0.000006 
2 20 3429 8530 1 0.000006 
2 20 19248 20820 1 0.000006 
2 20 19248 20820 1 0.000006 
2 20 13434 27748 1 0.000006 
2 20 13434 27748 1 0.000009 
2 20 12989 21359 1 0.000006 
2 20 12989 21359 1 0.000008 
2 20 15386 1717 1 0.000008 
2 20 15386 1717 1 0.000006 
4 20 5109 22475 2 0.000006 
4 20 5109 22475 2 0.000006 
4 20 12075 29088 1 0.000006 
4 20 12075 29088 1 0.000006 
4 20 9295 7895 2 0.000030 
4 20 9295 7895 2 0.000006 
4 20 8792 3581 2 0.000006 
4 20 8792 3581 2 0.000006 
4 20 21982 5580 1 0.000008 
4 20 21982 5580 1 0.000012 
4 20 11676 12839 2 0.000008 
4 20 11676 12839 2 0.000008 
4 20 17715 3100 2 0.000006 
4 20 17715 3100 2 0.000005 
4 20 10054 3676 2 0.000005 
4 20 10054 3676 2 0.000006 
4 20 21595 28784 2 0.000011 
4 20 21595 28784 2 0.000007 
4 20 25621 3173 2 0.000008 
4 20 25621 3173 2 0.000005 
4 20 5785 4526 1 0.000005 
4 20 5785 4526 1 0.000009 
4 20 29995 17045 2 0.000009 
4 20 29995 17045 2 0.000006 
4 20 21051 21719 2 0.000005 
4 20 21051 21719 2 0.000005 
4 20 6977 4139 1 0.000007 
4 20 6977 4139 1 0.000008 
4 20 23540 10477 1 0.000007 
4 20 23540 10477 1 0.000007 
4 20 173 26036 2 0.000005 
4 20 173 26036 2 0.000005 
4 20 4364 428 1 0.000007 
4 20 4364 428 1 0.000008 
4 20 23808 12731 1 0.000006 
4 20 23808 12731 1 0.000007 
4 20 26142 25393 2 0.000007 
4 20 26142 25393 2 0.000005 
4 20 29693 17395 2 0.000006 
4 20 29693 17395 2 0.000005 
6 20 29039 22085 2 0.000012 
6 20 29039 22085 2 0.000013 
6 20 17207 9675 2 0.000010 
6 20 17207 9675 2 0.000012 
6 20 20197 6205 2 0.000016 
6 20 20197 6205 2 0.000010 
6 20 3607 14967 2 0.000012 
6 20 3607 14967 2 0.000010 
6 20 27808 24688 2 0.000011 
6 20 27808 24688 2 0.000044 
6 20 29265 20494 2 0.000013 
6 20 29265 20494 2 0.000012 
6 20 13788 14305 2 0.000013 
6 20 13788 14305 2 0.000014 
6 20 11605 7899 2 0.000011 
6 20 11605 7899 2 0.000011 
6 20 25230 26178 1 0.000012 
6 20 25230 26178 1 0.000012 
6 20 23510 20299 2 0.000014 
6 20 23510 20299 2 0.000012 
6 20 11962 6343 2 0.000010 
6 20 11962 6343 2 0.000017 
6 20 28189 12472 2 0.000009 
6 20 28189 12472 2 0.000011 
