n_exams probability_pairs seed_gen seed_program min_time_slots time_in_seconds
10 2 3317 488 1 0.000061 
10 5 11122 488 2 0.000046 
10 10 20116 488 2 0.000046 
10 25 29491 488 3 0.000043 
10 50 14647 488 3 0.000043 
10 2 10382 14311 2 0.000043 
10 5 27305 14311 2 0.000057 
10 10 12114 14311 2 0.000047 
10 25 9751 14311 3 0.000050 
10 50 14024 14311 4 0.000387 
10 2 20987 9304 2 0.000048 
10 5 1945 9304 2 0.000044 
10 10 10020 9304 3 0.000088 
10 25 24048 9304 3 0.000046 
10 50 29660 9304 3 0.000067 
10 2 24723 18753 1 0.000049 
10 5 21263 18753 2 0.000044 
10 10 18709 18753 2 0.000056 
10 25 29610 18753 3 0.000049 
10 50 21523 18753 4 0.000045 
10 2 25186 25105 1 0.000049 
10 5 6098 25105 2 0.000056 
10 10 17577 25105 2 0.000048 
10 25 26108 25105 3 0.000063 
10 50 11581 25105 4 0.000069 
10 2 18279 24105 2 0.000045 
10 5 26178 24105 2 0.000045 
10 10 26517 24105 2 0.000053 
10 25 14908 24105 3 0.000062 
10 50 28374 24105 3 0.000075 
10 2 14965 3039 1 0.000049 
10 5 7764 3039 2 0.000047 
10 10 15391 3039 2 0.000076 
10 25 7631 3039 3 0.000055 
10 50 98 3039 4 0.000079 
10 2 13779 16374 2 0.000056 
10 5 18639 16374 2 0.000046 
10 10 22704 16374 2 0.000046 
10 25 24861 16374 3 0.000165 
10 50 3968 16374 5 0.000094 
10 2 2244 17940 1 0.000048 
10 5 22873 17940 2 0.000074 
10 10 22104 17940 2 0.000043 
10 25 25321 17940 2 0.000048 
10 50 24674 17940 4 0.000067 
10 2 9675 3976 1 0.000047 
10 5 24473 3976 2 0.000046 
10 10 27544 3976 2 0.000043 
10 25 10461 3976 3 0.000067 
10 50 16758 3976 4 0.000179 
10 2 6793 27694 2 0.000045 
10 5 18026 27694 2 0.000056 
10 10 23146 27694 3 0.000069 
10 25 5465 27694 2 0.000069 
10 50 2457 27694 6 0.002517 
10 2 10895 11049 2 0.000044 
10 5 29616 11049 2 0.000059 
10 10 9758 11049 2 0.000063 
10 25 83 11049 3 0.000076 
10 50 9741 11049 5 0.000705 
10 2 13091 29954 1 0.000055 
10 5 13134 29954 2 0.000049 
10 10 9765 29954 2 0.000118 
10 25 29011 29954 3 0.000070 
10 50 3531 29954 4 0.000088 
10 2 10635 16360 2 0.000062 
10 5 11052 16360 2 0.000047 
10 10 5451 16360 2 0.000056 
10 25 1657 16360 3 0.000060 
10 50 3274 16360 4 0.000101 
10 2 8999 27106 2 0.000056 
10 5 15063 27106 2 0.000047 
10 10 29500 27106 3 0.000052 
10 25 467 27106 3 0.000064 
10 50 4778 27106 4 0.000048 
10 2 23072 10034 2 0.000047 
10 5 1697 10034 2 0.000045 
10 10 9785 10034 3 0.000070 
10 25 2747 10034 3 0.000113 
10 50 8767 10034 3 0.000060 
10 2 26298 1755 2 0.000048 
10 5 2881 1755 2 0.000051 
10 10 3462 1755 2 0.000046 
10 25 28296 1755 2 0.000046 
10 50 24663 1755 4 0.000073 
10 2 22287 12169 2 0.000045 
10 5 21041 12169 1 0.000049 
10 10 22142 12169 2 0.000045 
10 25 24434 12169 3 0.000064 
10 50 22419 12169 4 0.000098 
10 2 15281 24542 2 0.000047 
10 5 19281 24542 2 0.000044 
10 10 20237 24542 2 0.000043 
10 25 10471 24542 3 0.000067 
10 50 25476 24542 3 0.000064 
10 2 20314 2664 1 0.000058 
10 5 15900 2664 2 0.000046 
10 10 20331 2664 2 0.000046 
10 25 15476 2664 3 0.000078 
10 50 16996 2664 4 0.000051 
12 2 18088 1385 2 0.000066 
12 5 9437 1385 2 0.000082 
12 10 29975 1385 2 0.000069 
12 25 22136 1385 3 0.000061 
12 50 26460 1385 3 0.000088 
12 2 17005 29339 2 0.000142 
12 5 17487 29339 2 0.000069 
12 10 12045 29339 2 0.000090 
12 25 27464 29339 3 0.000091 
12 50 10895 29339 4 0.000091 
12 2 1568 19194 2 0.000066 
12 5 28183 19194 2 0.000087 
12 10 20228 19194 2 0.000065 
12 25 3912 19194 4 0.000134 
12 50 12385 19194 4 0.000072 
12 2 23368 14723 2 0.000082 
12 5 22198 14723 2 0.000068 
12 10 11013 14723 2 0.000094 
12 25 17597 14723 3 0.000087 
12 50 5741 14723 4 0.000102 
12 2 17763 19077 1 0.000071 
12 5 4210 19077 2 0.000068 
12 10 21328 19077 2 0.000123 
12 25 6813 19077 3 0.000185 
12 50 841 19077 3 0.000070 
12 2 20560 29456 2 0.000100 
12 5 25670 29456 2 0.000109 
12 10 10245 29456 2 0.000072 
12 25 14669 29456 3 0.000079 
12 50 23039 29456 5 0.000367 
12 2 1618 22003 2 0.000066 
12 5 17256 22003 2 0.000067 
12 10 7332 22003 2 0.000065 
12 25 15625 22003 3 0.000097 
12 50 17991 22003 4 0.000119 
12 2 5938 884 2 0.000071 
12 5 20951 884 2 0.000065 
12 10 29322 884 2 0.000072 
12 25 23356 884 3 0.000110 
12 50 28265 884 4 0.000076 
12 2 12494 8859 1 0.000068 
12 5 12031 8859 2 0.000261 
12 10 21678 8859 2 0.000086 
12 25 19052 8859 3 0.000087 
12 50 26372 8859 5 0.000309 
12 2 14063 10169 2 0.000082 
12 5 19753 10169 2 0.000098 
12 10 13173 10169 3 0.000090 
12 25 10584 10169 3 0.000088 
12 50 9891 10169 4 0.000100 
12 2 18815 10787 2 0.000069 
12 5 13945 10787 2 0.000073 
12 10 28664 10787 2 0.000065 
12 25 4552 10787 4 0.000083 
12 50 16638 10787 5 0.000511 
12 2 7780 14315 2 0.000080 
12 5 17947 14315 2 0.000066 
12 10 29035 14315 2 0.000067 
12 25 21624 14315 3 0.000095 
12 50 6004 14315 4 0.000129 
12 2 28155 7531 1 0.000070 
12 5 1996 7531 2 0.000069 
